variable_name,year,missing_codes,treat_as_na,notes
ELECTRIC,ALL,"99|999",1,placeholder example only
WATSUP,ALL,"99|999",1,placeholder example only
SEWAGE,ALL,"99|999",1,placeholder example only
EDATTAIN,ALL,"99|999",1,placeholder example only
CLASSWK,ALL,"99|999",1,placeholder example only
CHBORN,ALL,"999|9999",1,placeholder example only
AUTOS,ALL,"999",1,placeholder example only
MOTORCYCLE,ALL,"999",1,placeholder example only
LIVEAREA,ALL,"9999|99999",1,placeholder example only
ROOMS,ALL,"999",1,placeholder example only
BEDROOMS,ALL,"999",1,placeholder example only